,image_id,orig_ia_pre_score,orig_ia_pre_styles_change,dist_ia_pre_score,dist_ia_pre_styles_change,dist_filters
13,7929,0.9951796531677246,"[-1.0827288627624512, 0.621399462223053, -0.03211858123540878, -0.013972967863082886, 0.5121394395828247, -0.6978595852851868, 0.16558773815631866, -0.2159976363182068, 0.9714778065681458]",0.8109232187271118,"[-0.49230247735977173, 0.39481720328330994, 0.031746841967105865, 0.2057725489139557, 0.35458892583847046, -0.24166929721832275, 0.16964665055274963, 0.04250813275575638, 0.3914276361465454]","[0.08557519112394213, -0.2534950251042591, 0.06041595751902584, -0.2785324318483567, 0.2646748967372406, 0.17172151330686852, 0.005116151846125461, 0.18639709358522694]"
14,7940,0.994677186012268,"[-0.3323633670806885, -0.052524104714393616, -0.13148245215415955, 0.012022078037261963, -0.4444924294948578, -0.40307724475860596, 0.06525615602731705, 0.36861521005630493, 0.268257737159729]",0.944021463394165,"[-0.6124826073646545, 0.4347175061702728, -0.20694231986999512, 0.11944654583930969, -0.2200073003768921, -0.006822472438216209, 0.08581226319074631, -0.013371802866458893, 0.5677689909934998]","[-0.13624166940938057, 0.24206179495335695, -0.23235358556933244, -0.17197756967674913, -0.12441939414704994, 0.16538055252499617, 0.05718794276565714, -0.22751201000715215]"
15,7548,0.9943305253982544,"[-1.2409491539001465, 1.013991117477417, -0.883421778678894, 0.42154553532600403, -0.049147069454193115, -0.1417689323425293, 0.03012898564338684, -1.236362338066101, 0.7978271842002869]",0.910397469997406,"[-0.9693915843963623, 0.9484674334526062, -0.7876136898994446, 0.38312962651252747, 0.09699708223342896, 0.11867301911115646, 0.02565169334411621, -0.6973220109939575, 0.5143276453018188]","[0.2286212089478577, 0.19902718073733394, 0.10774715537817192, 0.07271725555101105, -0.02064169046079739, -0.09680916043152371, 0.059622570737653646, 0.29415941429671894]"
16,6698,0.9941851496696472,"[-0.13313177227973938, 0.07306511700153351, 0.842364490032196, -0.19833701848983765, 0.6828939318656921, 0.12189625948667526, 0.14580579102039337, -0.7106772065162659, 0.7683091759681702]",0.9920069575309753,"[0.35452449321746826, -0.18907687067985535, 1.0778578519821167, -0.16103145480155945, 0.3895440697669983, 0.012181201949715614, 0.17920421063899994, -0.17600440979003906, 0.42154234647750854]","[0.19938507924907334, -0.018156429217015435, 0.02562045819441977, -0.29785398579199895, -0.14311408593158417, -0.15205576745800828, -0.07880806669447138, 0.06914754310506949]"
17,7747,0.9924252033233644,"[-0.9855097532272339, 0.7600117325782776, -0.01469893753528595, 0.3479589521884918, 0.5127036571502686, 0.3493453562259674, 0.08175364136695862, -0.5661787390708923, 0.3797905743122101]",0.9961040019989014,"[-1.0385617017745972, 0.8636597990989685, -0.11619401723146439, 0.7746121883392334, 0.3776785731315613, 0.3002123236656189, 0.05693779140710831, -0.38711217045783997, 0.08047428727149963]","[-0.25476833750246203, -0.2095952706613981, -0.18715146712197014, -0.2927351570419719, 0.03154849604745058, 0.006916985496584704, 0.29293773304970633, -0.03470538647472676]"
18,8338,0.9911640882492064,"[-1.4703683853149414, 0.992468535900116, -0.21101433038711548, 0.5921626091003418, 0.39104804396629333, -0.4004286825656891, 0.164560928940773, -0.30897295475006104, 1.00956130027771]",0.8763619065284729,"[-0.8888130187988281, 0.509699821472168, -0.21792617440223694, 0.17919275164604187, 0.29667147994041443, -0.3442491590976715, 0.15873806178569794, -0.17900192737579346, 0.8421329855918884]","[-0.29511812119594977, 0.2609642813088389, -0.023973853447150417, 0.02127613702695036, 0.02340259113451071, 0.02049959762155057, 0.023094842414713823, 0.12324261757256466]"
19,4375,0.9908130764961244,"[-0.41337287425994873, 0.28669294714927673, 0.1274488866329193, 0.11295554041862488, 0.12638981640338898, -0.1798049807548523, 0.16718727350234985, -0.6351125836372375, 0.9188856482505798]",0.8723189234733582,"[-0.43277931213378906, 0.34684714674949646, -0.1650727391242981, -0.02614980936050415, 0.20535434782505035, 0.05907546728849411, 0.10795392096042633, -0.733769416809082, 0.6834666132926941]","[-0.24204901269395718, 0.23416193660097867, 0.1258735713115055, -0.16526852002109074, -0.10059250454005433, 0.17609749984883566, 0.04851431420189517, -0.2494681410251535]"
20,8432,0.9904894828796388,"[-0.9950920343399048, 0.998333752155304, -0.47081607580184937, 0.6611430644989014, 0.08171916007995605, 0.32738709449768066, 0.03467431664466858, -0.3022819757461548, 0.19840997457504272]",0.9909595251083374,"[-1.0452678203582764, 1.041727066040039, -0.5861937999725342, 0.6610585451126099, 0.0065756142139434814, 0.40144675970077515, 0.0244663804769516, -0.3974900245666504, 0.17001557350158691]","[-0.2042109181127421, -0.14746770449648985, 0.022522806364668413, 0.03588075762113685, 0.24961875679801654, 0.1491557620411434, 0.18817639419574944, 0.17938232249519753]"
21,7426,0.9898841381072998,"[-1.1720848083496094, 0.43779635429382324, -0.17599982023239136, 0.23257169127464294, -0.07915481925010681, -0.5800057053565979, 0.18094751238822937, -0.183486670255661, 0.6599425077438354]",0.9977824091911316,"[-1.1099927425384521, 0.515476405620575, -0.5610936880111694, 0.3476134240627289, 0.041474923491477966, -0.4842895269393921, 0.05260089784860611, -0.07064104825258255, 0.16867154836654663]","[-0.22372887131606523, -0.21045380520135815, 0.19466051967189058, 0.04207189562731567, -0.007850568979129002, -0.1286683211860168, -0.051360197939317676, 0.11663831870262908]"
22,6842,0.9890120029449464,"[-0.8381527662277222, 0.15390749275684357, 0.20343679189682007, 0.0467168390750885, -0.11283266544342041, -0.5827359557151794, 0.21542443335056305, -0.14958259463310242, 0.5820408463478088]",0.9818130731582642,"[-0.5341213941574097, 0.12037235498428345, 0.1126958504319191, -0.05985133349895477, 0.009913206100463867, -0.28789976239204407, 0.17899230122566223, 0.013328708708286285, 0.30190590023994446]","[-0.21575475732227267, 0.14023119511549498, 0.0773204838046363, -0.17900239960238873, -0.1655064504013646, 0.21726884187907153, -0.06395363682007443, 0.18119579923248053]"
