,image_id,orig_ia_pre_score,dist_ia_pre_score,rest_ia_pre_score,orig_ia_pre_styles_change,dist_ia_pre_styles_change,rest_ia_pre_styles_change,orig_ia_pre_styles_change_strength,dist_ia_pre_styles_change_strength,rest_ia_pre_styles_change_strength,distance_to_orig
10,pexels-photo-763834_0_-1_1_0_0.jpeg,0.7547255158424377,0.3418056070804596,0.4244988262653351,"[-0.21018803119659424, 0.037321314215660095, 0.5697442293167114, -0.12214456498622894, 0.27891141176223755, -0.15102268755435944, 0.25106143951416016, -0.10720116645097733, 0.35616934299468994]","[-0.7552610635757446, 0.7811376452445984, -0.2257782220840454, 0.3636442720890045, -0.058502405881881714, 0.1659751683473587, 0.16424454748630524, -0.1887792944908142, 0.4703405499458313]","[-0.7354118824005127, 0.6959263682365417, -0.14446666836738586, 0.31275734305381775, -0.08295005559921265, 0.0628223717212677, 0.18511804938316345, -0.30803799629211426, 0.7227105498313904]",0.231529354221291,0.352629241016176,0.3611334760983785,0.2989327021742571
11,pexels-photo-1422384_0_0_-1_-1_0.jpeg,0.8730182647705078,0.5555386543273926,0.786944568157196,"[-0.6870026588439941, 0.6357566714286804, 0.41496741771698, 0.37912431359291077, 0.296465665102005, 0.08757682889699936, 0.18448789417743683, -0.2551652193069458, 0.5708774924278259]","[-0.7878602743148804, 0.8345782160758972, 0.27517351508140564, 0.4599723517894745, 0.24701836705207825, 0.18301993608474731, 0.18757236003875732, -0.47730571031570435, 0.6891310811042786]","[-0.5611224174499512, 0.6133086681365967, 0.3184259235858917, 0.4608518183231354, 0.3079507350921631, 0.09410049021244049, 0.1531122922897339, -0.10347095876932144, 0.2704601287841797]",0.3901582401659753,0.4601813124285804,0.3203114925159348,0.0588614896969398
12,pexels-photo-1079015_-1_-1_0_-2_-1.jpeg,0.5947713255882263,0.5794824957847595,0.682815432548523,"[-0.3650544285774231, 0.5504176616668701, -0.1027262881398201, 0.32495298981666565, 0.4231317639350891, 0.18456903100013733, 0.12471459805965424, -0.17332693934440613, 0.13503798842430115]","[-0.5086936950683594, 0.6776348352432251, -0.23806160688400269, 0.2707761824131012, 0.5158411264419556, 0.1175830289721489, 0.08033084869384766, -0.3986818492412567, 0.35717883706092834]","[-0.24982959032058716, 0.5121526122093201, -0.21205750107765198, 0.17541861534118652, 0.6420122981071472, 0.10334787517786026, 0.07665632665157318, -0.12445711344480515, 0.039631009101867676]",0.2648812987738185,0.3516424455576473,0.2372847712702221,0.0501628621436092
13,pexels-photo-2938684_-1_-1_-1_-3_-1.jpeg,0.093358926475048,0.0864786058664321,0.2627035677433014,"[-0.4325960874557495, 0.5720682740211487, -0.18660932779312134, 0.452543705701828, 0.3697071969509125, 0.18457284569740295, 0.13281378149986267, 0.112540602684021, 0.20315465331077576]","[-0.39978349208831787, 0.6893976330757141, -0.34342527389526367, 0.42720261216163635, 0.5483863949775696, 0.2744118869304657, 0.09575895965099335, 0.1863972246646881, 0.06608100235462189]","[-0.24344033002853394, 0.5504030585289001, -0.3211565315723419, 0.4593263566493988, 0.3800298571586609, 0.3283199965953827, 0.10197533667087555, 0.14569948613643646, -0.08258228003978729]",0.2940673861238692,0.3367604977554745,0.2903259148200353,0.124539310531459
14,pexels-photo-167708_-1_-1_-1_-1_-2.jpeg,0.3160191774368286,0.234147772192955,0.3864630758762359,"[0.02611425891518593, -0.010368956252932549, 0.012106135487556458, -0.17571742832660675, 0.2994897961616516, -0.15935897827148438, 0.15274867415428162, 0.14742538332939148, 0.16025248169898987]","[-0.37664875388145447, 0.4611459970474243, -0.8295297026634216, 0.08588269352912903, 0.386764794588089, -0.22577688097953796, 0.028630182147026062, -0.03636806458234787, 0.12139710783958435]","[-0.02251891791820526, -0.06922273337841034, -0.005969889461994171, -0.08214327692985535, 0.3256128430366516, -0.08148074895143509, 0.12579259276390076, -0.06156008690595627, 0.18882283568382263]",0.1270646769553423,0.2835715752508905,0.1070137694478035,0.1675708735175932
15,pexels-photo-266778_0_-1_0_0_-1.jpeg,0.8388070464134216,0.5052369236946106,0.6366263628005981,"[-0.05095776170492172, 0.0469115674495697, -0.038261778652668, -0.08942316472530365, 0.21105550229549408, 0.14279572665691376, 0.059040479362010956, -0.27789372205734253, 0.4326196312904358]","[0.06918158382177353, 0.07685909420251846, 0.10348464548587799, -0.11637745797634125, 0.27437156438827515, 0.10984890908002853, 0.12408298254013062, -0.08001410216093063, 0.24078813195228577]","[0.23134496808052063, -0.18332205712795258, 0.2868318259716034, -0.12886595726013184, 0.0687635987997055, 0.048933036625385284, 0.13743102550506592, 0.06322412937879562, 0.18370643258094788]",0.1498843704660733,0.1327787190675735,0.1480470034811231,0.3113737719384447
16,pexels-photo-1579699_-1_-1_2_-1_-2.jpeg,0.5351409316062927,0.477006196975708,0.7394082546234131,"[-0.07246368378400803, 0.1412980854511261, 0.09291662275791168, -0.11867916584014893, 0.426264226436615, 0.025926971808075905, 0.11987829208374023, 0.278733491897583, 0.1133352518081665]","[-0.17694297432899475, 0.281812846660614, -0.09030292183160782, -0.033345431089401245, 0.45964038372039795, -0.055943600833415985, 0.0854048877954483, 0.3452463746070862, 0.03149281442165375]","[-0.054291412234306335, 0.07649650424718857, -0.14102554321289062, -0.048524439334869385, 0.2797791361808777, -0.17510166764259338, 0.08301585912704468, 0.14236967265605927, 0.1971355378627777]",0.1543884213185972,0.17334802614318,0.1330821969442897,0.3051057685204353
17,pexels-photo-1943045_0_0_1_-1_0.jpeg,0.6528595685958862,0.3586423397064209,0.4945008158683777,"[-0.11862704902887344, 0.14726200699806213, 0.593746542930603, 0.30830058455467224, -0.024339348077774048, 0.02930380590260029, 0.19283068180084229, 0.01436593383550644, 0.19366109371185303]","[-0.0030096620321273804, 0.15434686839580536, 0.46817755699157715, 0.2617059051990509, 0.07191161811351776, 0.20363199710845947, 0.1994427740573883, -0.05082244426012039, 0.13857842981815338]","[-0.06679532676935196, 0.21790003776550293, 0.3562569320201874, 0.2648110091686249, 0.14745911955833435, 0.14633214473724365, 0.1830221712589264, -0.08376557379961014, 0.07929692417383194]",0.1802707829823096,0.1724030284418,0.1717376932501793,0.1421553459192844
18,pexels-photo-1146053_0_-1_-1_-1_0.jpeg,0.5383844971656799,0.2682521641254425,0.4121742248535156,"[0.09952769428491592, 0.12820114195346832, 0.1082756295800209, 0.11846241354942322, 0.22619611024856567, 0.27814781665802, 0.15577948093414307, 0.11528953164815903, 0.03357435762882233]","[-0.7315208911895752, 0.8519994616508484, -0.0750441774725914, 0.3785085380077362, 0.06778135895729065, 0.13307073712348938, 0.1903427541255951, -0.6557018160820007, 0.8978685736656189]","[-0.9857896566390991, 1.097520351409912, -0.1672404706478119, 0.4486410915851593, 0.09929156303405762, 0.1382971853017807, 0.15754744410514832, -0.5673673152923584, 0.809601366519928]",0.140383797387282,0.442426478697194,0.4968107160594728,0.5785533300235446
19,pexels-photo-92065_0_0_3_0_0.jpeg,0.3017997741699219,0.3894157111644745,0.4895548224449157,"[0.09093759953975677, -0.09392620623111725, 0.40739622712135315, -0.17096395790576935, 0.13952524960041046, -0.04706423729658127, 0.18126246333122253, 0.3574157953262329, -0.31858986616134644]","[-0.10182207077741623, 0.20120078325271606, 0.12207362800836563, -0.02727264165878296, 0.133433997631073, -0.048475854098796844, 0.15007862448692322, 0.2716825008392334, -0.08880637586116791]","[-0.17499598860740662, 0.3024534285068512, 0.046043284237384796, -0.08070188760757446, 0.16348862648010254, -0.07831189036369324, 0.13919386267662048, 0.2416776716709137, 0.0005099549889564514]",0.2007868447237544,0.127205164068275,0.1363751772377226,0.1277666820147485
